Year,Precipitation,maxtemp,mintemp,avgtemp,specifichumidity,relativehumidity,surfacepressure,dewpoints,minwindspeed,maxwindspeed,cloudcoverage,Nitrogen,Phosphorus,Pottasium,pH,VH_mean,VV_mean,RVI,Yield
2015,496.85,33.33,19.83,13.5,0.011725,51.94,94.15,14.38,2.37,5.85,0.55,-1,1,2,2,-16.966224999999998,-10.233416666666667,0.6492416666666667,96.64
2016,801.98,32.84,19.31,13.53,0.011382,53.13,94.1,13.68,2.48,5.91,0.54,0,2,2,2,-16.965433333333333,-10.101258333333332,0.6631,124.38
2017,827.51,32.74,19.21,13.53,0.011535,53.82,94.08,13.67,2.33,5.78,0.55,-1,1,1,2,-18.405241666666665,-10.914716666666665,0.672425,99.0
2018,353.5,33.03,19.62,13.41,0.011057,50.04,94.09,13.36,2.29,5.93,0.56,-2,-1,0,3,-18.574225000000002,-10.863525000000001,0.6526916666666667,67.29
2019,1057.54,32.8,19.2,13.6,0.011498,53.6,94.1,13.6,2.3,5.8,0.6,-1,1,2,2,-18.144833333333334,-10.435916666666666,0.6317333333333334,99.0
2020,745.34,32.76,19.3,13.53,0.011365,50.55,94.09,13.48,2.46,5.95,0.56,-1,1,2,2,-17.90973333333333,-10.163891666666666,0.6384833333333333,95.5
2021,780.5,32.5,19.1,13.45,0.0114,51.2,94.07,13.55,2.5,5.9,0.55,0,1,1,2,-17.776766666666667,-10.09005,0.646925,100.2
2022,810.3,32.3,18.9,13.35,0.0115,52.0,94.05,13.65,2.55,5.85,0.54,0,2,2,2,-17.20435,-9.702508333333332,0.666175,103.8
2023,840.8,32.1,18.7,13.25,0.0116,53.0,94.03,13.75,2.6,5.8,0.53,-1,1,2,2,-17.936491666666665,-10.155966666666666,0.6489916666666667,106.5
2024,870.5,31.9,18.5,13.15,0.0117,54.0,94.01,13.85,2.65,5.75,0.52,0,2,2,2,-17.531683333333334,-9.997566666666666,0.657925,109.2
2025,900.0,31.7,18.3,13.05,0.0118,55.0,93.99,13.95,2.7,5.7,0.51,-1,1,1,2,-17.826125,-10.154458333333332,0.6498166666666666,112.0
