Year,Month,VH_mean,VV_mean,VH_VV_ratio,RVI
2015,2,-19.1347,-11.811,-7.3238,0.7023
2016,3,-17.921,-10.5992,-7.3218,0.7194
2016,10,-16.9835,-10.0033,-6.9802,0.723
2016,11,-18.8832,-11.0427,-7.8405,0.654
2016,12,-18.4175,-10.7599,-7.6576,0.6414
2017,1,-18.8152,-11.3237,-7.4915,0.6654
2017,2,-18.6052,-11.2702,-7.335,0.6836
2017,3,-19.0411,-11.5888,-7.4523,0.6708
2017,4,-19.0966,-11.6759,-7.4206,0.6703
2017,5,-19.254,-11.5885,-7.6656,0.6458
2017,6,-18.1361,-10.253,-7.8831,0.6195
2017,7,-19.0657,-11.0108,-8.0549,0.6082
2017,8,-18.4858,-10.4922,-7.9936,0.6189
2017,9,-17.1251,-10.1191,-7.0059,0.7261
2017,10,-17.1258,-10.3986,-6.7271,0.7891
2017,11,-18.0312,-10.7228,-7.3085,0.6817
2017,12,-18.0811,-10.533,-7.5481,0.6897
2018,1,-18.2872,-10.8355,-7.4517,0.6686
2018,2,-18.6357,-11.2125,-7.4231,0.677
2018,3,-18.6202,-11.2139,-7.4063,0.706
2018,4,-19.0054,-11.1411,-7.8643,0.6597
2018,5,-18.9606,-10.9331,-8.0275,0.6111
2018,6,-18.5864,-10.5841,-8.0022,0.6202
2018,7,-18.6861,-10.7345,-7.9516,0.6261
2018,8,-18.5073,-10.9157,-7.5916,0.6648
2018,9,-18.505,-10.7981,-7.7069,0.6562
2018,10,-17.6609,-10.2096,-7.4513,0.675
2018,11,-18.548,-10.7454,-7.8026,0.6396
2018,12,-18.8879,-11.0388,-7.8491,0.628
2019,1,-19.27,-11.4556,-7.8144,0.6425
2019,2,-19.476,-11.5074,-7.9686,0.6229
2019,3,-19.9202,-11.521,-8.3992,0.5797
2019,4,-19.7283,-11.1472,-8.5811,0.5948
2019,6,-20.022,-11.2146,-8.8075,0.5692
2019,8,-18.0213,-9.9888,-8.0325,0.6087
2019,9,-16.7938,-9.2414,-7.5524,0.6651
2019,10,-16.1981,-9.2031,-6.995,0.7096
2019,11,-17.1098,-9.9368,-7.173,0.6836
2019,12,-18.5185,-10.5551,-7.9634,0.6024
2020,1,-18.5986,-10.5661,-8.0324,0.5962
2020,2,-18.5886,-10.7602,-7.8284,0.6324
2020,3,-18.0712,-10.4075,-7.6637,0.6453
2020,4,-19.0439,-10.9796,-8.0642,0.605
2020,5,-18.3141,-10.1437,-8.1704,0.5915
2020,6,-18.7231,-10.0845,-8.6386,0.5517
2020,7,-16.9404,-9.1879,-7.7525,0.6402
2020,8,-16.6659,-9.5097,-7.1561,0.7061
2020,9,-16.6527,-9.7961,-6.8566,0.736
2020,10,-16.7479,-9.8007,-6.9471,0.7245
2020,11,-18.1168,-10.477,-7.6398,0.6484
2020,12,-18.4536,-10.2537,-8.1999,0.5845
2021,1,-18.1999,-10.1384,-8.0615,0.6061
2021,2,-18.505,-10.6183,-7.8867,0.6218
2021,3,-18.7497,-10.7488,-8.0009,0.6106
