Year,Month,Precipitation,maxtemp,mintemp,avgtemp,specifichumidity,relativehumidity,surfacepressure,dewpoints,minwindspeed,maxwindspeed,cloudcoverage,VH_mean,VV_mean,VH_VV_ratio,RVI
2015,1,1.1,29.89,13.07,16.81,0.006966,42.1,94.5,7.0,1.42,4.68,0.63,-18.52,-11.34,-7.18,0.5824
2015,2,12.37,33.32,15.68,17.64,0.005745,29.03,94.39,4.41,1.39,4.9,0.67,-19.1347,-11.811,-7.24,0.7023
2015,3,14.16,35.0,19.77,15.22,0.00912,39.22,94.34,11.42,1.21,5.07,0.62,-19.34,-12.01,-7.33,0.5563
2015,4,5.86,38.41,22.12,16.29,0.009368,32.9,94.1,11.47,1.42,5.06,0.63,-19.78,-12.45,-7.33,0.5432
2015,5,45.94,38.44,23.57,14.87,0.012952,44.62,93.95,16.52,2.5,6.2,0.6,-19.12,-11.89,-7.23,0.5598
2015,6,127.76,32.49,22.87,9.62,0.015684,66.64,93.71,19.9,4.58,8.44,0.41,-16.45,-9.82,-6.63,0.6521
2015,7,39.69,31.99,22.28,9.7,0.016026,70.38,93.8,20.36,5.31,9.56,0.37,-14.89,-8.56,-6.33,0.7134
2015,8,46.73,31.92,22.03,9.89,0.015697,69.61,93.92,20.04,3.49,7.36,0.4,-13.67,-7.89,-5.78,0.7523
2015,9,126.67,31.77,21.37,10.41,0.015687,70.82,94.0,19.98,2.17,4.88,0.5,-13.23,-7.45,-5.78,0.7689
2015,10,50.83,32.32,20.73,11.59,0.014197,63.54,94.3,18.36,1.34,4.07,0.55,-14.56,-8.23,-6.33,0.7245
2015,11,25.73,32.05,18.14,13.91,0.010906,53.07,94.34,14.05,1.93,5.26,0.58,-16.78,-10.12,-6.66,0.6423
2015,12,0.01,32.38,16.08,16.3,0.007925,39.69,94.5,8.34,1.62,4.62,0.64,-18.12,-11.23,-6.89,0.5934
2016,1,0.0,31.47,14.27,17.21,0.005412,30.36,94.51,3.51,1.33,4.31,0.63,-18.34,-11.21,-7.13,0.5891
2016,2,5.22,35.18,17.8,17.38,0.00713,31.67,94.38,7.36,1.03,4.62,0.63,-18.67,-11.45,-7.22,0.5789
2016,3,7.33,37.66,21.26,16.39,0.007753,29.02,94.27,8.57,1.26,4.75,0.66,-17.921,-10.5992,-7.23,0.7194
2016,4,4.44,40.7,23.56,17.14,0.00882,27.68,94.0,10.63,1.57,5.67,0.63,-19.56,-12.34,-7.22,0.5467
2016,5,7.59,39.83,24.47,15.36,0.012476,39.87,93.86,15.92,3.33,6.94,0.62,-19.01,-11.78,-7.23,0.5623
2016,6,104.36,32.61,23.13,9.48,0.016247,68.08,93.76,20.53,3.77,7.76,0.4,-15.89,-9.45,-6.44,0.6678
2016,7,267.6,29.03,22.0,7.03,0.016977,80.84,93.72,21.29,4.17,8.58,0.27,-14.12,-8.12,-6.0,0.7312
2016,8,184.0,29.4,21.24,8.16,0.016542,80.13,93.77,20.88,4.12,9.04,0.35,-13.01,-7.34,-5.67,0.7678
2016,9,171.28,28.72,20.63,8.09,0.015898,80.12,93.94,20.23,2.98,6.39,0.39,-12.78,-7.12,-5.66,0.7756
2016,10,47.53,29.61,17.6,12.01,0.013234,70.49,94.17,17.11,1.9,4.05,0.54,-16.9835,-10.0033,-6.22,0.723
2016,11,2.15,29.8,12.98,16.82,0.008634,54.19,94.42,10.54,2.1,4.3,0.66,-18.8832,-11.0427,-6.56,0.654
2016,12,0.47,30.27,12.82,17.45,0.007315,44.33,94.46,7.47,2.09,4.38,0.63,-18.4175,-10.7599,-6.88,0.6414
2017,1,0.0,30.7,13.43,17.27,0.005901,34.85,94.47,4.88,1.56,4.31,0.66,-18.8152,-11.3237,-7.0,0.6654
2017,2,0.0,34.78,16.26,18.52,0.005095,24.43,94.44,2.7,1.69,4.87,0.69,-18.6052,-11.2702,-7.11,0.6836
2017,3,2.12,37.22,18.75,18.47,0.00638,25.49,94.16,5.43,1.17,4.72,0.68,-19.0411,-11.5888,-7.22,0.6708
2017,4,1.2,40.48,21.43,19.05,0.007138,24.09,94.03,6.82,1.84,5.68,0.66,-19.0966,-11.6759,-7.11,0.6703
2017,5,20.86,39.79,24.39,15.4,0.011883,38.06,93.89,15.2,2.53,6.48,0.62,-19.254,-11.5885,-7.22,0.6458
2017,6,146.92,32.45,23.06,9.39,0.01656,69.79,93.73,20.86,3.86,7.78,0.44,-18.1361,-10.253,-6.45,0.6195
2017,7,161.22,30.27,22.17,8.1,0.01661,76.17,93.75,20.93,5.18,10.36,0.33,-19.0657,-11.0108,-6.11,0.6082
2017,8,158.06,30.14,21.36,8.78,0.016198,76.57,93.75,20.52,3.4,7.8,0.38,-18.4858,-10.4922,-5.78,0.6189
2017,9,205.18,30.2,21.6,8.6,0.017074,79.02,93.94,21.4,1.78,4.55,0.44,-17.1251,-10.1191,-5.78,0.7261
2017,10,127.22,29.7,19.67,10.03,0.015034,74.36,94.08,19.17,1.43,3.56,0.53,-17.1258,-10.3986,-6.44,0.7891
2017,11,1.73,28.97,14.77,14.19,0.01098,64.33,94.31,14.28,1.69,4.24,0.63,-18.0312,-10.7228,-6.66,0.6817
2017,12,3.0,28.42,13.46,14.96,0.009119,56.53,94.44,11.06,1.8,4.96,0.59,-18.0811,-10.533,-6.89,0.6897
2018,1,0.09,29.82,12.84,16.97,0.006711,40.52,94.35,6.7,1.3,3.93,0.66,-18.2872,-10.8355,-7.0,0.6686
2018,2,0.0,33.2,16.68,16.52,0.00591,29.1,94.39,4.88,1.32,4.11,0.69,-18.6357,-11.2125,-7.11,0.677
2018,3,0.05,36.84,20.58,16.26,0.006907,26.73,94.18,7.19,1.15,4.21,0.68,-18.6202,-11.2139,-7.23,0.706
2018,4,0.1,39.81,23.02,16.79,0.008104,26.18,94.0,9.58,1.23,4.89,0.66,-19.0054,-11.1411,-7.22,0.6597
2018,5,1.07,39.48,24.14,15.34,0.011703,38.15,93.83,15.18,2.1,6.16,0.62,-18.9606,-10.9331,-7.22,0.6111
2018,6,4.09,31.45,23.1,8.35,0.016853,72.42,93.66,21.26,3.59,7.88,0.44,-18.5864,-10.5841,-6.56,0.6202
2018,7,5.17,29.46,21.98,7.48,0.016475,77.64,93.64,20.85,5.23,10.57,0.33,-18.6861,-10.7345,-6.22,0.6261
